"Subject","Catalog","Section","Class Stat","Cap Enrl","Tot Enrl","Facil ID","Meeting Start","Meeting End","Mon","Tues","Wed","Thurs","Fri","Instructor Name","Mode","Campus"
"MEC"," 355","NAB","A","48","20","D4050","09:50:00","11:35:00","Y","N","N","N","N","Chan,Ho Yin","P","NH"
"MEC"," 355","NBBL","A","24","11","K2200","10:45:00","12:30:00","N","N","N","Y","N","Chan,Ho Yin","P","NH"
"CCP"," 555","NSC","A","35","22","ONLINE","14:25:00","16:10:00","N","N","N","N","Y","Chan,Pak Lam David","OS","NH"
"CCP"," 555","NSC","A","35","22","ONLINE","15:20:00","17:05:00","N","Y","N","N","N","Chan,Pak Lam David","OS","NH"
"CCP"," 555","NSD","A","35","22","ONLINE","17:10:00","18:55:00","N","Y","N","N","Y","Chan,Pak Lam David","OS","NH"
"CSP"," 451","NIA","A","36","36","ONLINE","12:35:00","14:20:00","N","N","N","N","Y","Chan,Pak Lam David","OB","NH"
"CSP"," 451","NIA","A","36","36","ONLINE","16:15:00","18:00:00","N","N","Y","N","N","Chan,Pak Lam David","OB","NH"
"PMC"," 444","NBB","A","40","25","B3044","16:15:00","18:00:00","N","Y","N","N","N","Chaudhary,Rachit","FL","NH"
"PMC"," 444","NBBL","A","40","25","A3516","08:00:00","09:45:00","N","N","N","Y","N","Chaudhary,Rachit","P","NH"
"PMC"," 444","NCC","A","40","36","B4021","08:00:00","09:45:00","N","N","Y","N","N","Chaudhary,Rachit","FL","NH"
"PMC"," 444","NCCL","A","40","36","A3516","08:00:00","09:45:00","Y","N","N","N","N","Chaudhary,Rachit","P","NH"
"PMC"," 444","NDD","A","40","39","B1025","16:15:00","18:00:00","N","N","Y","N","N","Chaudhary,Rachit","FL","NH"
"PMC"," 444","NDDL","A","40","39","A4515","08:00:00","09:45:00","N","N","N","N","Y","Chaudhary,Rachit","P","NH"
"BTI"," 225","NAA","A","35","16","A2534","09:50:00","11:35:00","Y","N","N","N","N","Chen,Jenelle","P","NH"
"BTI"," 225","NAA","A","35","16","A3527","10:45:00","12:30:00","N","N","Y","N","N","Chen,Jenelle","P","NH"
"BTI"," 325","NAA","A","35","19","ONLINE","08:00:00","09:45:00","N","N","N","N","Y","Chen,Jenelle","H","NH"
"BTI"," 325","NAA","A","35","19","A2534","08:00:00","09:45:00","N","N","Y","N","N","Chen,Jenelle","H","NH"
"BTI"," 325","NBB","A","35","28","ONLINE","09:50:00","11:35:00","N","N","N","N","Y","Chen,Jenelle","H","NH"
"BTI"," 325","NBB","A","35","28","A3527","08:00:00","09:45:00","Y","N","N","N","N","Chen,Jenelle","H","NH"
"BTE"," 620","NBB","A","30","27","B3090","08:00:00","09:45:00","N","N","N","N","Y","Chibba,Michelle","H","NH"
"BTE"," 620","NBB","A","30","27","ONLINE","17:10:00","18:55:00","Y","N","N","N","N","Chibba,Michelle","H","NH"
"BTE"," 620","NCC","A","30","23","B3090","09:50:00","11:35:00","N","N","N","N","Y","Chibba,Michelle","H","NH"
"BTE"," 620","NCC","A","30","23","ONLINE","17:10:00","18:55:00","N","Y","N","N","N","Chibba,Michelle","H","NH"
"APL"," 355","NAAL","A","24","6","A4060","11:40:00","13:25:00","N","N","Y","N","N","Corapi,Giuseppe","P","NH"
"APL"," 355","NBBL","A","24","23","A4060","13:30:00","15:15:00","N","N","Y","N","N","Corapi,Giuseppe","P","NH"
"MAC"," 500","NAA","A","24","19","A4060","11:40:00","14:20:00","N","Y","N","N","N","Corapi,Giuseppe","P","NH"
"TPJ"," 655","NAAL","A","24","24","A4070","09:50:00","11:35:00","N","N","N","Y","N","Craigs,Karen Ebden","P","NH"
"TPJ"," 655","NAB","A","48","48","K3272","09:50:00","11:35:00","N","N","Y","N","N","Craigs,Karen Ebden","P","NH"
"TPJ"," 655","NBBL","A","24","24","A4070","11:40:00","13:25:00","Y","N","N","N","N","Craigs,Karen Ebden","P","NH"
